molecule_name,atom_index_0,atom_index_1,distance_1,atom_index_2,atom_2,distance_2,cosine_angle
dsgdb9nsd_000948,7,2,3.217157511510458,1,C,2.0383754754611343,0.9674120573917157
dsgdb9nsd_000948,7,2,3.217157511510458,5,C,3.79347379080649,0.7228816726422376
dsgdb9nsd_000948,7,2,3.217157511510458,3,C,4.276693355531582,0.9769365071532456
dsgdb9nsd_000948,7,2,3.217157511510458,8,H,1.7476884648735176,0.6434859674649785
dsgdb9nsd_000948,7,2,3.217157511510458,10,H,4.487520687329249,0.5682081397613583
dsgdb9nsd_000948,7,2,3.217157511510458,9,H,5.228495706021695,0.9946615698107134
dsgdb9nsd_000948,7,2,3.217157511510458,0,N,1.0041277094572048,0.9370646929045761
dsgdb9nsd_000948,7,2,3.217157511510458,6,N,2.483626405855495,0.6754177964017811
dsgdb9nsd_000948,7,2,3.217157511510458,4,N,4.605087767409646,0.8736558692762546
dsgdb9nsd_000948,7,6,2.483626405855495,1,C,2.0383754754611343,0.8401312803222131
dsgdb9nsd_000948,7,6,2.483626405855495,5,C,3.79347379080649,0.9977941644545183
dsgdb9nsd_000948,7,6,2.483626405855495,3,C,4.276693355531582,0.817304859454766
dsgdb9nsd_000948,7,6,2.483626405855495,8,H,1.7476884648735176,-0.12985379712109107
dsgdb9nsd_000948,7,6,2.483626405855495,10,H,4.487520687329249,0.9906022289510621
dsgdb9nsd_000948,7,6,2.483626405855495,9,H,5.228495706021695,0.7479087353603355
dsgdb9nsd_000948,7,6,2.483626405855495,0,N,1.0041277094572048,0.3754303775533508
dsgdb9nsd_000948,7,6,2.483626405855495,2,N,3.217157511510458,0.6754177964017812
dsgdb9nsd_000948,7,6,2.483626405855495,4,N,4.605087767409646,0.9488777069683102
dsgdb9nsd_000948,8,2,2.483627002210066,1,C,2.0383751433536674,0.840131719371237
dsgdb9nsd_000948,8,2,2.483627002210066,3,C,3.7934754282429375,0.9977941540750086
dsgdb9nsd_000948,8,2,2.483627002210066,5,C,4.276692823177683,0.8173047477408588
dsgdb9nsd_000948,8,2,2.483627002210066,7,H,1.7476884648735176,-0.1298533349093999
dsgdb9nsd_000948,8,2,2.483627002210066,9,H,4.487521542243353,0.9906022365236405
dsgdb9nsd_000948,8,2,2.483627002210066,10,H,5.228495650910297,0.7479087286701125
dsgdb9nsd_000948,8,2,2.483627002210066,0,N,1.0041277981970538,0.3754307630586664
dsgdb9nsd_000948,8,2,2.483627002210066,6,N,3.2171576326788287,0.6754178429396303
dsgdb9nsd_000948,8,2,2.483627002210066,4,N,4.605088120839788,0.9488777287879593
dsgdb9nsd_000948,8,6,3.2171576326788287,1,C,2.0383751433536674,0.9674118684099492
dsgdb9nsd_000948,8,6,3.2171576326788287,3,C,3.7934754282429375,0.7228818240816027
