molecule_name,atom_index_0,atom_index_1,distance_1,atom_index_2,atom_2,distance_2,cosine_angle
dsgdb9nsd_000948,9,2,2.0554988863739467,3,C,1.3256198542881632,-0.8802734170861329
dsgdb9nsd_000948,9,2,2.0554988863739467,1,C,1.3479376385330597,0.7908909570451592
dsgdb9nsd_000948,9,2,2.0554988863739467,5,C,2.663861282452479,-0.08624447078178886
dsgdb9nsd_000948,9,2,2.0554988863739467,8,H,2.483627002210066,0.9543774929719574
dsgdb9nsd_000948,9,2,2.0554988863739467,7,H,3.217157511510458,0.9649366624997623
dsgdb9nsd_000948,9,2,2.0554988863739467,10,H,3.7525235978322486,-0.08670436692173504
dsgdb9nsd_000948,9,2,2.0554988863739467,0,N,2.3030670842265573,0.993648232932895
dsgdb9nsd_000948,9,2,2.0554988863739467,4,N,2.3811763796423,-0.5736464558954746
dsgdb9nsd_000948,9,2,2.0554988863739467,6,N,2.3927040332327874,0.42000392315384105
dsgdb9nsd_000948,9,4,2.0687303532825063,3,C,1.3363726895606454,-0.8826518664834271
dsgdb9nsd_000948,9,4,2.0687303532825063,5,C,1.3363739966297845,0.7797188789312799
dsgdb9nsd_000948,9,4,2.0687303532825063,1,C,2.679851850730203,-0.09349221993153851
dsgdb9nsd_000948,9,4,2.0687303532825063,10,H,2.0687306551340545,0.9825184649847005
dsgdb9nsd_000948,9,4,2.0687303532825063,7,H,4.605087767409646,0.09713183326938457
dsgdb9nsd_000948,9,4,2.0687303532825063,8,H,4.605088120839788,-0.2807184220061473
dsgdb9nsd_000948,9,4,2.0687303532825063,2,N,2.3811763796423,-0.5810552962929527
dsgdb9nsd_000948,9,4,2.0687303532825063,6,N,2.3811766230695106,0.4193846429782304
dsgdb9nsd_000948,9,4,2.0687303532825063,0,N,4.026779089354067,-0.09349194770685151
dsgdb9nsd_000948,10,4,2.0687306551340545,3,C,1.3363726895606454,0.779719046710978
dsgdb9nsd_000948,10,4,2.0687306551340545,5,C,1.3363739966297845,-0.8826517406262001
dsgdb9nsd_000948,10,4,2.0687306551340545,1,C,2.679851850730203,-0.09349192383754186
dsgdb9nsd_000948,10,4,2.0687306551340545,9,H,2.0687303532825063,0.9825184649847004
dsgdb9nsd_000948,10,4,2.0687306551340545,7,H,4.605087767409646,-0.2807186999991391
dsgdb9nsd_000948,10,4,2.0687306551340545,8,H,4.605088120839788,0.09713154500415533
dsgdb9nsd_000948,10,4,2.0687306551340545,2,N,2.3811763796423,0.41938442275237287
dsgdb9nsd_000948,10,4,2.0687306551340545,6,N,2.3811766230695106,-0.581055493749304
dsgdb9nsd_000948,10,4,2.0687306551340545,0,N,4.026779089354067,-0.09349219607471113
dsgdb9nsd_000948,10,6,2.0554986534226174,5,C,1.3256187412905711,-0.8802735473852504
dsgdb9nsd_000948,10,6,2.0554986534226174,1,C,1.3479389344705175,0.7908906191837228
dsgdb9nsd_000948,10,6,2.0554986534226174,3,C,2.663861512516968,-0.08624494543872994
dsgdb9nsd_000948,10,6,2.0554986534226174,7,H,2.483626405855495,0.9543774627195165
dsgdb9nsd_000948,10,6,2.0554986534226174,8,H,3.2171576326788287,0.9649367054007608
dsgdb9nsd_000948,10,6,2.0554986534226174,9,H,3.7525238509385135,-0.08670443195743914
dsgdb9nsd_000948,10,6,2.0554986534226174,0,N,2.3030669534152013,0.9936482376213513
dsgdb9nsd_000948,10,6,2.0554986534226174,4,N,2.3811766230695106,-0.5736463552787537
dsgdb9nsd_000948,10,6,2.0554986534226174,2,N,2.3927040332327874,0.4200038749954089
dsgdb9nsd_000980,10,4,2.137466710965558,5,C,1.2988890025765287,-0.9171634954132476
